customer_id,total_spent,avg_order_value,num_purchases,total_quantity,has_discount,days_since_first_purchase,days_since_last_purchase,purchase_frequency,preferred_category,gender,customer_region,loyalty_tier
C00001,679.11,84.89,8,29,1,0,0,0.0,Outdoors,Male,Central,Silver
C00002,548.66,78.38,7,20,1,0,0,0.0,Outdoors,Female,Central,Gold
C00003,234.32,78.11,3,8,1,0,0,0.0,Kitchen,Male,Central,Gold
C00004,349.57,69.91,5,15,1,0,0,0.0,Cleaning,Female,Central,Gold
C00005,174.44,34.89,5,11,1,0,0,0.0,Outdoors,Male,West,Bronze
C00006,494.31,82.38,6,20,1,0,0,0.0,Storage,Male,Central,Bronze
C00007,665.63,83.2,8,25,1,0,0,0.0,Cleaning,Female,North,Gold
C00008,1118.52,124.28,9,34,1,0,0,0.0,Cleaning,Male,Central,Gold
C00009,349.54,87.38,4,17,1,0,0,0.0,Personal Care,Female,South,Silver
C00010,243.89,48.78,5,13,1,0,0,0.0,Cleaning,Male,East,Gold
C00011,256.65,64.16,4,9,1,0,0,0.0,Cleaning,Other,East,Silver
C00012,230.37,57.59,4,13,1,0,0,0.0,Storage,Female,North,Silver
C00013,486.56,69.51,7,19,1,0,0,0.0,Personal Care,Female,West,Gold
C00014,355.24,39.47,9,16,1,0,0,0.0,Cleaning,Other,Central,Gold
C00015,620.49,88.64,7,22,1,0,0,0.0,Outdoors,Female,Central,Bronze
C00016,779.09,97.39,8,25,1,0,0,0.0,Cleaning,Other,North,Gold
C00017,403.25,57.61,7,16,1,0,0,0.0,Cleaning,Male,West,Gold
C00018,446.18,63.74,7,22,1,0,0,0.0,Cleaning,Female,North,Bronze
C00019,352.03,50.29,7,17,1,0,0,0.0,Cleaning,Female,East,Gold
C00020,515.58,85.93,6,18,1,0,0,0.0,Cleaning,Female,East,Gold
C00021,509.55,63.69,8,21,1,0,0,0.0,Cleaning,Male,South,Silver
C00022,342.66,114.22,3,9,1,0,0,0.0,Outdoors,Female,West,Silver
C00023,965.16,96.52,10,34,1,0,0,0.0,Cleaning,Male,East,Gold
C00024,389.59,77.92,5,14,1,0,0,0.0,Cleaning,Female,West,Silver
C00025,393.37,78.67,5,16,1,0,0,0.0,Outdoors,Female,North,Gold
C00026,240.53,60.13,4,11,1,0,0,0.0,Kitchen,Female,North,Gold
C00027,542.43,108.49,5,15,1,0,0,0.0,Cleaning,Male,North,Gold
