order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,line_amount,category,gender,customer_region,loyalty_tier
O966977,C00397,P0022,3,39.25,2025-07-06,Delivered,PayPal,Central,0.0,117.75,Cleaning,Female,North,Silver
O696648,C00236,P0023,5,18.92,2025-07-06,Delayed,Credit Card,North,0.0,94.6,Outdoors,Other,North,Gold
O202644,C00492,P0011,1,29.68,2025-07-06,Delivered,Bank Transfer,North,0.15,25.23,Kitchen,Male,Central,Gold
O501803,C00031,P0003,1,32.76,2025-07-06,Cancelled,Credit Card,Central,0.2,26.21,Cleaning,Female,Central,Gold
O322242,C00495,P0016,1,47.62,2025-07-06,Delayed,Credit Card,West,0.2,38.1,Cleaning,Male,Central,Gold
O190175,C00388,P0005,3,37.89,2025-07-06,Delayed,Bank Transfer,North,0.1,102.3,Personal Care,Male,North,Gold
O272646,C00328,P0027,5,30.83,2025-07-06,Delivered,PayPal,Central,0.05,146.44,Outdoors,Female,Central,Gold
O411881,C00201,P0019,3,12.56,2025-07-06,Delivered,Credit Card,East,0.0,37.68,Kitchen,Female,East,Gold
O170570,C00076,P0030,3,28.32,2025-07-06,Delivered,PayPal,Central,0.15,72.22,Cleaning,Female,North,Gold
O619944,C00330,P0002,1,30.96,2025-07-06,Delayed,Credit Card,South,0.15,26.32,Cleaning,Other,West,Bronze
O490023,C00285,P0022,2,9.98,2025-07-06,Delivered,Credit Card,Central,0.0,19.96,Cleaning,Male,Central,Bronze
O865247,C00249,P0022,5,30.92,2025-07-06,Delayed,Credit Card,East,0.1,139.14,Cleaning,Male,South,Gold
O315552,C00110,P0007,4,28.74,2025-07-06,Delivered,Bank Transfer,North,0.1,103.46,Personal Care,Female,South,Gold
O135982,C00441,P0003,2,38.11,2025-07-06,Delivered,PayPal,North,0.1,68.6,Cleaning,Female,South,Bronze
O870079,C00274,P0013,1,49.71,2025-07-06,Delayed,Credit Card,East,0.1,44.74,Cleaning,Female,South,Gold
O305482,C00404,P0003,4,9.79,2025-07-06,Cancelled,Bank Transfer,North,0.15,33.29,Cleaning,Male,East,Gold
O359666,C00397,P0007,4,12.07,2025-07-06,Delayed,Bank Transfer,West,0.0,48.28,Personal Care,Female,North,Silver
O324940,C00262,P0002,1,20.42,2025-07-06,Delayed,Credit Card,North,0.05,19.4,Cleaning,Female,South,Gold
O364358,C00319,P0027,4,17.4,2025-07-06,Delayed,PayPal,East,0.0,69.6,Outdoors,Male,West,Gold
O358447,C00059,P0004,3,39.89,2025-07-06,Delayed,Bank Transfer,West,0.0,119.67,Kitchen,Female,West,Bronze
O216425,C00211,P0019,1,32.05,2025-07-06,Delayed,Bank Transfer,South,0.15,27.24,Kitchen,Male,North,Silver
O121091,C00276,P0022,4,12.88,2025-07-06,Cancelled,Credit Card,Central,0.2,41.22,Cleaning,Female,West,Gold
O930213,C00369,P0010,4,10.43,2025-07-06,Cancelled,PayPal,South,0.1,37.55,Cleaning,Other,West,Bronze
O342894,C00171,P0030,1,31.96,2025-07-06,Delivered,Bank Transfer,South,0.0,31.96,Cleaning,Male,Central,Silver
O471486,C00423,P0007,2,39.93,2025-07-06,Cancelled,PayPal,Central,0.1,71.87,Personal Care,Male,East,Bronze
O728183,C00040,P0021,5,39.59,2025-07-06,Delivered,Credit Card,Central,0.15,168.26,Kitchen,Female,East,Gold
O860527,C00334,P0025,5,46.67,2025-07-06,Delayed,PayPal,South,0.1,210.02,Cleaning,Female,South,Gold
O658934,C00463,P0025,4,19.29,2025-07-06,Delayed,Credit Card,West,0.1,69.44,Cleaning,Other,West,Bronze
O702676,C00374,P0019,1,36.28,2025-07-06,Delivered,Bank Transfer,West,0.1,32.65,Kitchen,Female,North,Gold
O145341,C00470,P0024,1,29.47,2025-07-06,Cancelled,PayPal,East,0.1,26.52,Storage,Female,North,Silver
O291982,C00329,P0019,5,41.7,2025-07-06,Delivered,PayPal,East,0.05,198.08,Kitchen,Female,South,Gold
O577920,C00480,P0015,4,28.58,2025-07-06,Delayed,PayPal,East,0.0,114.32,Storage,Other,Central,Silver
O960238,C00259,P0009,2,9.58,2025-07-06,Delayed,Credit Card,East,0.2,15.33,Outdoors,Female,West,Gold
O966135,C00464,P0028,1,26.29,2025-07-06,Cancelled,PayPal,West,0.0,26.29,Outdoors,Male,Central,Gold
O453905,C00398,P0017,2,32.1,2025-07-06,Delivered,PayPal,South,0.1,57.78,Personal Care,Other,Central,Bronze
O357468,C00070,P0025,2,12.47,2025-07-06,Delivered,Credit Card,East,0.15,21.2,Cleaning,Male,Central,Gold
O671288,C00197,P0014,4,15.06,2025-07-06,Delayed,Credit Card,North,0.0,60.24,Outdoors,Other,West,Gold
O566495,C00500,P0013,1,41.14,2025-07-06,Delivered,PayPal,Central,0.0,41.14,Cleaning,Male,North,Gold
O508604,C00331,P0022,1,14.6,2025-07-06,Cancelled,Bank Transfer,Central,0.2,11.68,Cleaning,Female,West,Gold
O455877,C00414,P0029,3,37.44,2025-07-06,Cancelled,Bank Transfer,East,0.1,101.09,Cleaning,Male,South,Gold
O175998,C00170,P0016,1,47.46,2025-07-06,Delayed,Bank Transfer,North,0.05,45.09,Cleaning,Male,West,Gold
O393004,C00284,P0011,4,49.08,2025-07-06,Delivered,PayPal,East,0.15,166.87,Kitchen,Male,East,Gold
O198320,C00392,P0001,3,18.38,2025-07-06,Delivered,Credit Card,West,0.15,46.87,Storage,Female,West,Gold
